0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:23:49 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:24:00 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:24:25 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:24:46 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:27:13 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:29:03 +0530] "GET /hcl-project/ HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:32:50 +0530] "GET /hcl-project/tenant.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:32:52 +0530] "GET /hcl-project/service.html HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:32:53 +0530] "GET /hcl-project/order.html HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:32:53 +0530] "GET /hcl-project/selfService.html HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:32:54 +0530] "GET /hcl-project/userActivityReport.html HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:35:09 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:36:31 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:36:37 +0530] "GET /hcl-project/ManageSysProvider.html HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:36:41 +0530] "GET /hcl-project/ManageSysProvider.html HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [23/Jan/2018:15:36:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [23/Jan/2018:16:01:12 +0530] "GET /hcl-project/ManageSysProvider.html HTTP/1.1" 200 2585
